scientificName,englishName,class,orign,Edible fruit
(Crataegus chrysocarpa),Fireberry hawthorn,Deciduous,Native,Edible Tree
(Crataegus coccinea),Scarlet hawthorn,Deciduous,Native,Edible Tree
(Crataegus columbiana),Columbia hawthorn,Deciduous,Native,Edible Tree
(Crataegus crus-galli),Cockspur hawthorn,Deciduous,Native,Edible Tree
(Crataegus douglasii),Black hawthorn,Deciduous,Native,Edible Tree
(Crataegus flabellata),Fanleaf hawthorn,Deciduous,Native,Edible Tree
(Crataegus mollis),Downy hawthorn,Deciduous,Native,Edible Tree
(Crataegus monogyna),One-seeded hawthorn,Deciduous,Naturalized,Edible Tree
(Crataegus phaenopyrum),Washington hawthorn,Deciduous,Introduced,Edible Tree
(Crataegus punctata),Dotted hawthorn,Deciduous,Native,Edible Tree
(Crataegus succulenta),Fleshy hawthorn,Deciduous,Native,Edible Tree
(Cryptomeria japonica),Japanese-cedar,Conifer,Introduced,
(Elaeagnus angustifolia),Russian-olive,Deciduous,Naturalized,
(Elaeagnus commutata),Silverberry,Deciduous,Native,Edible Tree
(Euonymus alatus),Winged euonymus,Deciduous,Introduced,
(Euonymus atropurpureus),Burning-bush euonymus,Deciduous,Native,
(Euonymus bungeanus),Winterberry Euonymus,Deciduous,Introduced,
(Euonymus europaeus),European euonymus,Deciduous,Introduced,
(Euonymus fortunei),Winter-creeper euonymus,Deciduous,Introduced,
(Fagus grandifolia),American beech,Deciduous,Native,
(Fagus sylvatica),European beech,Deciduous,Introduced,
(Fraxinus americana),White ash,Deciduous,Native,
(Fraxinus excelsior),European ash,Deciduous,Introduced,
(Fraxinus latifolia),Oregon ash,Deciduous,Native,
(Fraxinus nigra),Black ash,Deciduous,Native,
(Fraxinus pennsylvanica var. austini),Northern red ash,Deciduous,Native,
(Fraxinus pennsylvanica var. subintegerrima),Green ash,Deciduous,Native,
(Fraxinus pennsylvanica),Red ash,Deciduous,Native,
(Fraxinus profunda),Pumpkin ash,Deciduous,Native,
(Fraxinus quadrangulata),Blue ash,Deciduous,Native,
(Ginkgo biloba),Ginkgo,Deciduous,Introduced,
(Gleditsia triacanthos),Honey-locust,Deciduous,Native,Edible Tree
(Gymnocladus dioicus),Kentucky coffeetree,Deciduous,Native,
(Hamamelis virginiana),Witch-hazel,Deciduous,Native,
(Hippophae rhamnoides),Sea-buckthorn,Deciduous,Introduced,Edible Tree
(Ilex aquifolium),English holly,Deciduous,Naturalized,
(Ilex opaca),American holly,Deciduous,Introduced,
(Ilex verticillata),Common winterberry,Deciduous,Native,
(Juglans ailantifolia),Japanese Walnut,Deciduous,Introduced,Edible Tree
(Juglans cinerea),Butternut,Deciduous,Native,Edible Tree
(Juglans nigra),Black walnut,Deciduous,Native,Edible Tree
(Juglans regia),English walnut,Deciduous,Introduced,Edible Tree
(Juniperus chinensis),Chinese juniper,Conifer,Introduced,
